PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Keerthika, U; Sethukkarasi, R; Kannan, A		Meghanathan, N; Nagamalai, D; Chaki, N		Keerthika, U.; Sethukkarasi, R.; Kannan, A.			A Novel Rule Based Classifier for Mining Temporal Medical Databases Using Fuzzy Rough Set Approach	ADVANCES IN COMPUTING AND INFORMATION TECHNOLOGY, VOL 3	Advances in Intelligent Systems and Computing				2nd International Conference on Advances in Computing and Information Technology (ACITY 2012)	JUL 13-15, 2012	Chennai, INDIA									Arputharaj, Kannan/AAN-4912-2020; T, Sethukarasi/AAE-6969-2019	Arputharaj, Kannan/0000-0002-3564-395X												2194-5357	2194-5365	978-3-642-31599-2				2013	178						85	+									WOS:000312969100009						
C	Yang, G; Jia, L; Shuai, S; Guoai, X; Gong, C		Yang, G		Yang, Gao; Jia, Liu; Shuai, Shao; Guoai, Xu; Gong, Cheng			Weighted Networks of Object-Oriented Software Systems: The Distribution of Vertex Strength and Correlation	PROCEEDINGS OF THE 2012 INTERNATIONAL CONFERENCE ON COMMUNICATION, ELECTRONICS AND AUTOMATION ENGINEERING	Advances in Intelligent Systems and Computing				International Conference on Communications, Electronics and Automation Engineering	AUG 23-25, 2012	Xian, PEOPLES R CHINA	Xian Technol Univ, Shaanxi Network & Monitoring Control Engn Lab, Missouri Western State Univ																					2194-5357	2194-5365	978-3-642-31697-5				2013	181						1185	+									WOS:000315538000166						
C	Hu, L; Bi, XM		Du, ZY		Hu Liang; Bi Xiaoming			Education Software Design of Electronic Technique That Based on Virtual Reality Technology	INTELLIGENCE COMPUTATION AND EVOLUTIONARY COMPUTATION	Advances in Intelligent Systems and Computing				International Conference of Intelligence Computation and Evolutionary Computation (ICEC 2012)	JUL 07, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-31655-5; 978-3-642-31656-2				2013	180						173	178									WOS:000316302700025						
C	Perez, JB; Arrieta, AG; Encinas, AH; Dios, AQ		Omatu, S; Selamat, A; Bocewicz, G; Sitek, P; Nielsen, I; GarciaGarcia, JA; Bajo, J		Bullon Perez, J.; Gonzalez Arrieta, A.; Hernandez Encinas, A.; Queiruga Dios, A.			Textile Engineering and Case Based Reasoning	DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE, (DCAI 2016)	Advances in Intelligent Systems and Computing				13th International Conference on Distributed Computing and Artificial Intelligence (DCAI)	JUN 01-03, 2016	Sevilla, SPAIN	IBM, Indra, Fidetia, IEEE SMC Spain								Queiruga-Dios, Araceli/K-4012-2014	Queiruga-Dios, Araceli/0000-0001-5296-0271												2194-5357	2194-5365	978-3-319-40162-1; 978-3-319-40161-4				2016	474						423	431		10.1007/978-3-319-40162-1_46							WOS:000387181500046						
C	Das, A; Mohanty, MN; Mishra, LP; Suresh, LP		Suresh, LP; Panigrahi, BK		Das, Anindita; Mohanty, Mihir Narayan; Mishra, Laxmi Prasad; Suresh, L. Padma			EA-Based Optimization of Hybrid T-Slot Patch Antenna	PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON SOFT COMPUTING SYSTEMS, ICSCS 2015, VOL 1	Advances in Intelligent Systems and Computing				International Conference On Soft Computing Systems (ICSCS)	APR 20-21, 2015	Noorul Islam Univ, Noorul Islam Ctr Higher Educ, Kumaracoil, INDIA		Noorul Islam Univ, Noorul Islam Ctr Higher Educ								Mohanty, Dr. Mihir Narayan/0000-0003-1252-949X												2194-5357		978-81-322-2671-0; 978-81-322-2669-7				2016	397						23	31		10.1007/978-81-322-2671-0_3							WOS:000377539600003						
C	Vasista, TGK; AlSudairi, MAT		Meghanathan, N; Nagamalai, D; Chaki, N		Vasista, T. G. K.; AlSudairi, Mohammed A. T.			Service-Oriented Architecture (SOA) and Semantic Web Services for Web Portal Integration	ADVANCES IN COMPUTING AND INFORMATION TECHNOLOGY, VOL 2	Advances in Intelligent Systems and Computing				2nd International Conference on Advances in Computing and Information Technology (ACITY 2012)	JUL 13-15, 2012	Chennai, INDIA									Tatapudi, Gopikrishna/AAC-1243-2020; Tatapudi, Gopikrishna/A-8383-2011	Tatapudi, Gopikrishna/0000-0002-6496-6547; 												2194-5357		978-3-642-31551-0				2013	177						253	+									WOS:000312968800027						
C	Sundari, BBT; Krishnan, V		Kumar, MA; Selvarani, R; Kumar, TVS		Sundari, B. Bala Tripura; Krishnan, Varsha			Comparison of Configurations of Data Path Architecture Developed Using Template	PROCEEDINGS OF INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING	Advances in Intelligent Systems and Computing				International Conference on Advances in Computing (ICAdC 2012)	JUL 04-06, 2012	M S Ramaiah Inst Technol, INDIA	M S Ramaiah Inst Technol, Informat Sci & Engn, M S Ramaiah Inst Technol, Comp Sci & Engn, M S Ramaiah Inst Technol, Comp Applicat	M S Ramaiah Inst Technol																				2194-5357	2194-5365	978-81-322-0739-9; 978-81-322-0740-5				2013	174						539	548									WOS:000316088900065						
C	Pereira, VA; Sanches, MF; Botega, LC; Coneglian, CS; Oliveira, N; Araujo, RB		Arezes, P		Pereira Junior, Valdir A.; Sanches, Matheus F.; Botega, Leonardo C.; Coneglian, Caio S.; Oliveira, Natalia; Araujo, Regina B.			Using Semantics to Improve Information Fusion and Increase Situational Awareness	ADVANCES IN SAFETY MANAGEMENT AND HUMAN FACTORS	Advances in Intelligent Systems and Computing				International Conference on Safety Management and Human Factors	JUL 27-31, 2016	FL									Botega, Leonardo Castro/O-7747-2019; Botega, Leonardo/ABA-7282-2020; Arezes, Pedro M/A-1314-2008	Botega, Leonardo Castro/0000-0003-1495-5935; Arezes, Pedro M/0000-0001-9421-9123												2194-5357	2194-5365	978-3-319-41929-9; 978-3-319-41928-2				2016	491						101	113		10.1007/978-3-319-41929-9_11							WOS:000389641200011						
C	Enomoto, I; Suga, M; Minami, T		Lames, M; Saupe, D; Wiemeyer, J		Enomoto, Itaru; Suga, Masaaki; Minami, Takahisa			Development of Real-Time Analysis System of Match Playing Time for Water Polo Player	PROCEEDINGS OF THE 11TH INTERNATIONAL SYMPOSIUM ON COMPUTER SCIENCE IN SPORT (IACSS 2017)	Advances in Intelligent Systems and Computing				11th International Symposium of Computer Science in Sports (IACSS)	SEP 06-09, 2017	Univ Konstanz, Konstanz, GERMANY		Univ Konstanz																				2194-5357	2194-5365	978-3-319-67846-7; 978-3-319-67845-0				2018	663						82	85		10.1007/978-3-319-67846-7_8							WOS:000435013000008						
C	Lyashchenko, A; Ruban, V; Lyashchenko, Z		Abraham, A; Kovalev, S; Tarassov, V; Snasel, V; Vasileva, M; Sukhanov, A		Lyashchenko, Alexey; Ruban, Vladimir; Lyashchenko, Zoya			The Hybrid Model of the Weakly Formalized Dynamic Process Based on the Fuzzy Production System	PROCEEDINGS OF THE SECOND INTERNATIONAL SCIENTIFIC CONFERENCE INTELLIGENT INFORMATION TECHNOLOGIES FOR INDUSTRY (IITI'17), VOL 1	Advances in Intelligent Systems and Computing				2nd International Scientific Conference on Intelligent Information Technologies for Industry (IITI)	SEP 14-16, 2017	Varna, BULGARIA	Tech Univ Varna, Tech Univ Sofia, VSB Tech Univ Ostrava, Rostov State Transport Univ																					2194-5357	2194-5365	978-3-319-68321-8				2018	679						276	285		10.1007/978-3-319-68321-8_28							WOS:000585070600028						
C	Bejinariu, SI; Rotaru, F; Nita, CD; Costin, M		Balas, VE; Fodor, J; VarkonyiKoczy, AR; Dombi, J; Jain, LC		Bejinariu, Silviu Ioan; Rotaru, Florin; Nita, Cristina Diana; Costin, Mihaela			Morphological Wavelets for Panchromatic and Multispectral Image Fusion	SOFT COMPUTING APPLICATIONS	Advances in Intelligent Systems and Computing				5th International Workshop Soft Computing Applications (SOFA)	AUG 22-24, 2012	Szeged, HUNGARY									Bejinariu, Silviu-Ioan/E-1571-2019; COSTIN, MIHAELA/T-9244-2018; Rotaru, Florin V/I-6466-2015	Bejinariu, Silviu-Ioan/0000-0003-2681-4478; COSTIN, MIHAELA/0000-0001-8924-3161; Rotaru, Florin V/0000-0001-6090-0893												2194-5357	2194-5365	978-3-642-33940-0; 978-3-642-33941-7				2013	195						573	583									WOS:000314077300050						
C	Ozgur, HE; Sarigecili, MI		Rodic, A; Borangiu, T		Ozgur, Huseyin Emre; Sarigecili, Mehmet Ilteris			A Method for Adjusting Moment Input on an Exoskeleton Robot with Fixed Linear Actuators	ADVANCES IN ROBOT DESIGN AND INTELLIGENT CONTROL	Advances in Intelligent Systems and Computing				25th International Conference on Robotics in Alpe-Adria-Danube Region (RAAD)	JUN 30-JUL 02, 2016	Belgrade, SERBIA									Sarigecili, Mehmet I/G-4004-2018													2194-5357		978-3-319-49058-8; 978-3-319-49057-1				2017	540						507	514		10.1007/978-3-319-49058-8_55							WOS:000413022000055						
C	Malche, T; Maheshwary, P		Modi, N; Verma, P; Trivedi, B		Malche, Timothy; Maheshwary, Priti			Internet of Things (IoT) Based Water Level Monitoring System for Smart Village	PROCEEDINGS OF INTERNATIONAL CONFERENCE ON COMMUNICATION AND NETWORKS	Advances in Intelligent Systems and Computing				International Conference on Communication on Networks (COMNET)	FEB 19-20, 2016	Ahmedabad Management Assoc, Ahmedabad, INDIA	Comp Soc India, Ahmedabad Chapter, Div IV, Assoc Comp Machinery, Ahmedabad Chapter	Ahmedabad Management Assoc							Maheshwary, Priti/AAK-2873-2020; Malche, Timothy/AAA-6563-2019	Malche, Timothy/0000-0002-5804-9558												2194-5357	2194-5365	978-981-10-2750-5; 978-981-10-2749-9				2017	508						305	312		10.1007/978-981-10-2750-5_32							WOS:000426415300032						
C	Karanina, E; Ryazanova, O; Timin, A		Murgul, V; Popovic, Z		Karanina, Elena; Ryazanova, Olesya; Timin, Alexander			The Risk-Based Approach to Rating the Competitiveness of Transport Enterprises in the System of Economic Security	INTERNATIONAL SCIENTIFIC CONFERENCE ENERGY MANAGEMENT OF MUNICIPAL TRANSPORTATION FACILITIES AND TRANSPORT, EMMFT 2017	Advances in Intelligent Systems and Computing				19th International Scientific Conference on Energy Management of Municipal Transportation Facilities and Transport (EMMFT)	APR 10-13, 2017	Far Eastern State Transport Univ, Khabarovsk, RUSSIA		Far Eastern State Transport Univ							Karanina, Elena E.V./L-1395-2016	Karanina, Elena E.V./0000-0002-5439-5912; Timin, Alexander/0000-0002-8255-5215												2194-5357	2194-5365	978-3-319-70987-1; 978-3-319-70986-4				2018	692						318	325		10.1007/978-3-319-70987-1_34							WOS:000436502300034						
C	Kusy, M; Zajdel, R		Korbicz, J; Kowal, M		Kusy, Maciej; Zajdel, Roman			Stateless Q-Learning Algorithm for Training of Radial Basis Function Based Neural Networks in Medical Data Classification	INTELLIGENT SYSTEMS IN TECHNICAL AND MEDICAL DIAGNOSTICS	Advances in Intelligent Systems and Computing				11th International Conference on Diagnostics of Processes and Systems (DPS)	SEP 08-11, 2013	Lagow Lubuski, POLAND	Univ Zielona Gora, Inst Control & Computat Engn, Warsaw Univ Technol, Lubuskie Sci Soc, Polish Minist Sci & Higher Educ, Polish Acad Sci, Comm Automat Control & Robot, Gdansk Univ Technol								Kusy, Maciej/X-9606-2018	Kusy, Maciej/0000-0001-5419-1111; Zajdel, Roman/0000-0003-0903-4023												2194-5357		978-3-642-39881-0; 978-3-642-39880-3				2014	230						267	278		10.1007/978-3-642-39881-0_22							WOS:000329201800022						
C	Chen, J		Du, ZY		Chen, Juan			The Analysis of Grid Database Technology in the Computer Application System	INTELLIGENCE COMPUTATION AND EVOLUTIONARY COMPUTATION	Advances in Intelligent Systems and Computing				International Conference of Intelligence Computation and Evolutionary Computation (ICEC 2012)	JUL 07, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-31655-5				2013	180						197	201									WOS:000316302700029						
C	Chandran, A; Anjali, T; Mohan, N; Soman, KP		Abraham, A; Cherukuri, AK; Madureira, AM; Muda, AK		Chandran, Athira; Anjali, T.; Mohan, Neethu; Soman, K. P.			Overlapping Group Sparsity Induced Condition Monitoring in Rotating Machineries	PROCEEDINGS OF THE EIGHTH INTERNATIONAL CONFERENCE ON SOFT COMPUTING AND PATTERN RECOGNITION (SOCPAR 2016)	Advances in Intelligent Systems and Computing				8th International Conference on Soft Computing and Pattern Recognition (SoCPaR) / 8th International Conference on Computational Aspects of Social Networks (CASoN)	DEC 19-21, 2016	Vellore Inst Technol Univ, Vellore, INDIA	Machine Intelligence Research Labs	Vellore Inst Technol Univ								Kutti Padannayil, Soman/0000-0003-1082-4786; Mohan, Neethu/0000-0003-4853-8670												2194-5357	2194-5365	978-3-319-60618-7; 978-3-319-60617-0				2018	614						409	418		10.1007/978-3-319-60618-7_40							WOS:000454700100040						
C	Guerrero-Contreras, G; Rodriguez-Dominguez, C; Balderas-Diaz, S; Garrido, JL		Rocha, A; Correia, AM; Costanzo, S; Reis, LP		Guerrero-Contreras, Gabriel; Rodriguez-Dominguez, Carlos; Balderas-Diaz, Sara; Luis Garrido, Jose			Dynamic Replication and Deployment of Services in Mobile Environments	NEW CONTRIBUTIONS IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1, PT 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 01-03, 2015	Univ Azores, Ponta Delgada, PORTUGAL		Univ Azores							Rodriguez Dominguez, Carlos/N-1220-2014; Balderas-Diaz, Sara/U-7865-2017; GARRIDO, JOSE LUIS/C-2410-2012; Guerrero-Contreras, Gabriel/U-7755-2017	Rodriguez Dominguez, Carlos/0000-0001-5626-3115; Balderas-Diaz, Sara/0000-0003-1998-5826; GARRIDO, JOSE LUIS/0000-0001-7004-1957; Guerrero-Contreras, Gabriel/0000-0002-7509-3673												2194-5357	2194-5365	978-3-319-16486-1; 978-3-319-16485-4				2015	353		1				855	864		10.1007/978-3-319-16486-1_85							WOS:000381744400085						
C	Xi, Y; Jia, KB; Sun, ZH		Pan, JS; Snasel, V; Sung, TW; Wang, XD		Xi, Yao; Jia, Ke-bin; Sun, Zhong-hua			A Moving Object Detection Algorithm Based on a Combination Optical Flow and Edge Detection	INTELLIGENT DATA ANALYSIS AND APPLICATIONS, (ECC 2016)	Advances in Intelligent Systems and Computing				3rd Euro-China Conference on Intelligent Data Analysis and Applications (ECC)	NOV 07-09, 2016	Fujian Univ Technol, Fuzhou, PEOPLES R CHINA	Fujian Provincial Key Lab Big Data Mining & Applicat, VSB Techn Univ Ostrava, Taiwan Assoc Web Intelligence Consortium & Immers Co Ltd	Fujian Univ Technol							Sun, Zhonghua/N-1648-2019	Sun, Zhonghua/0000-0002-7538-4761												2194-5357	2194-5365	978-3-319-48499-0; 978-3-319-48498-3				2017	535						130	137		10.1007/978-3-319-48499-0_16							WOS:000398625400016						
C	Liu, R; Zell, A		Menegatti, E; Michael, N; Berns, K; Yamaguchi, H		Liu, Ran; Zell, Andreas			Toward Localizing both Static and Non-static RFID Tags with a Mobile Robot	INTELLIGENT AUTONOMOUS SYSTEMS 13	Advances in Intelligent Systems and Computing				13th International Conference on Intelligent Autonomous Systems (IAS)	JUL 15-18, 2014	Centro Congressi Padova, Padova, ITALY	Univ Padova	Centro Congressi Padova																				2194-5357	2194-5365	978-3-319-08338-4; 978-3-319-08337-7				2016	302						277	289		10.1007/978-3-319-08338-4_21							WOS:000377956900021						
C	Jaafar, NH; Ahmad, MS; Ahmad, A		PhonAmnuaisuk, S; Au, TW		Jaafar, Nur Huda; Ahmad, Mohd Sharifuddin; Ahmad, Azhana			Operational Rules for Implementing Sincere Software Agents in Corrective and Preventive Actions Environment	COMPUTATIONAL INTELLIGENCE IN INFORMATION SYSTEMS	Advances in Intelligent Systems and Computing				4th INNS Symposia on Computational Intelligence in Information Systems (INNS-CIIS)	NOV 07-09, 2014	Inst Teknologi Brunei, Bandar Seri Begawan, BRUNEI	Bank Islam Brunei Darussalam, DST, Int Neural Network Soc	Inst Teknologi Brunei							JAAFAR, TS. DR. NUR HUDA/AAZ-5050-2021	JAAFAR, TS. DR. NUR HUDA/0000-0001-6551-7287												2194-5357	2194-5365	978-3-319-13153-5; 978-3-319-13152-8				2015	331						307	314		10.1007/978-3-319-13153-5_30							WOS:000358277600030						
C	Sarjapur, K; Suma, V; Christa, S; Rao, J		Satapathy, SC; Mandal, JK; Udgata, SK; Bhateja, V		Sarjapur, Kashinath; Suma, V.; Christa, Sharon; Rao, Jawahar			Big Data Management System for Personal Privacy Using SW and SDF	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 2, INDIA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Information System Design and Intelligent Applications (INDIA)	JAN 08-09, 2016	ANITS Campus, Visakhapatnam, INDIA	Anil Neerukonda Inst Technol & Sci, Det CSE, ANITS CSI Student Branch	ANITS Campus							Christa, Sharon/V-7568-2018	Christa, Sharon/0000-0001-6717-2200; V, Suma/0000-0003-1942-6741												2194-5357		978-81-322-2752-6; 978-81-322-2750-2				2016	434						757	763		10.1007/978-81-322-2752-6_75							WOS:000373009100075						
C	Lopes, CT; Dias, D; Ribeiro, C		Rocha, A; Correia, AM; Wilson, T; Stroetmann, KA		Lopes, Carla Teixeira; Dias, Daniela; Ribeiro, Cristina			Using Domain-Specific Term Frequencies to Identify and Classify Health Queries	ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 27-30, 2013	Olhao, PORTUGAL	Iberian Assoc Informat Syst & Technologies								Lopes, Carla Teixeira/B-6731-2008	Lopes, Carla Teixeira/0000-0002-4202-791X; Ribeiro, Cristina/0000-0001-6150-0090												2194-5357		978-3-642-36981-0				2013	206						221	226		10.1007/978-3-642-36981-0_21							WOS:000354617500021						
C	Mota, D; Reis, LP; de Carvalho, CV		Rocha, A; Correia, AM; Tan, FB; Stroetmann, KA		Mota, Dulce; Reis, Luis Paulo; de Carvalho, Carlos Vaz			Cross-Artefacts for the Purpose of Education	NEW PERSPECTIVES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 15-18, 2014	Funchal, PORTUGAL									de Carvalho, Carlos Vaz/AAB-4311-2020; Reis, Luis Paulo/C-5751-2008	de Carvalho, Carlos Vaz/0000-0001-6587-5893; Reis, Luis Paulo/0000-0002-4709-1718; Mota, Dulce/0000-0003-4499-7351												2194-5357	2194-5365	978-3-319-05948-8; 978-3-319-05947-1				2014	276						487	496		10.1007/978-3-319-05948-8_47							WOS:000354299300047						
C	Nawala, J; Cyganek, B		Kurzynski, M; Wozniak, M; Burduk, R		Nawala, Jakub; Cyganek, Boguslaw			Real-Time Image Content Assessment for Underwater Robot Manoeuvring Based on Structural Tensor Analysis	PROCEEDINGS OF THE 10TH INTERNATIONAL CONFERENCE ON COMPUTER RECOGNITION SYSTEMS CORES 2017	Advances in Intelligent Systems and Computing				10th International Conference on Computer Recognition Systems (CORES)	MAY 22-24, 2017	Polanica Zdroj, POLAND									Nawala, Jakub/AAP-9744-2020	Nawala, Jakub/0000-0002-5671-3726												2194-5357	2194-5365	978-3-319-59162-9				2018	578						462	471		10.1007/978-3-319-59162-9_48							WOS:000432569000048						
C	Bi, WM; Ruan, XF		Patnaik, S; Li, X		Bi, Weimin; Ruan, Xuefeng			Design and Implementation of Online Monitoring System for Large-Scale Mechanical and Electrical Equipment Based on Embedded Techniques	PROCEEDINGS OF INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND INFORMATION TECHNOLOGY (CSAIT 2013)	Advances in Intelligent Systems and Computing				International Conference on Computer Science and Information Technology (CSAIT)	SEP 21-23, 2013	Kunming, PEOPLES R CHINA																						2194-5357	2194-5365	978-81-322-1759-6; 978-81-322-1758-9				2014	255						247	252		10.1007/978-81-322-1759-6_30							WOS:000339434900030						
S	Belter, D; Nowicki, M; Skrzypczynski, P; Walas, K; Wietrzykowski, J		Szewczyk, R; Zielinski, C; Kaliczynska, M		Belter, Dominik; Nowicki, Michal; Skrzypczynski, Piotr; Walas, Krzysztof; Wietrzykowski, Jan			Lightweight RGB-D SLAM System for Search and Rescue Robots	PROGRESS IN AUTOMATION, ROBOTICS AND MEASURING TECHNIQUES: VOL 2 ROBOTICS	Advances in Intelligent Systems and Computing															Walas, Krzysztof T/F-8630-2014; Walas, Krzysztof/ABE-8163-2020; Nowicki, Michal R./L-6997-2014; Belter, Dominik/E-9623-2012; Skrzypczynski, Piotr/M-1376-2014; Wietrzykowski, Jan/O-8454-2016	Walas, Krzysztof/0000-0002-2800-2716; Nowicki, Michal R./0000-0002-2299-9025; Belter, Dominik/0000-0003-3002-9747; Skrzypczynski, Piotr/0000-0002-9843-2404; Wietrzykowski, Jan/0000-0002-1343-6378												2194-5357	2194-5365	978-3-319-15847-1				2015	351						11	21		10.1007/978-3-319-15847-1_2	10.1007/978-3-319-15847-1						WOS:000400259000003						
C	Raghuram, MA; Akshay, K; Chandrasekaran, K		Berretti, S; Thampi, SM; Dasgupta, S		Raghuram, M. A.; Akshay, K.; Chandrasekaran, K.			Efficient User Profiling in Twitter Social Network Using Traditional Classifiers	INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				International Symposium on Intelligent Systems Technologies and Applications (ISTA)	AUG 10-13, 2015	SCMS Grp Inst, SCMS Sch Engn & Technol, Kochi, INDIA		SCMS Grp Inst, SCMS Sch Engn & Technol							Kesavan, Chandrasekaran/AAF-3375-2019	Kesavan, Chandrasekaran/0000-0003-4728-2319; K, Chandrasekaran/0000-0002-8855-3472												2194-5357	2194-5365	978-3-319-23258-4; 978-3-319-23257-7				2016	385						399	411		10.1007/978-3-319-23258-4_35							WOS:000381802900035						
C	Duraes, D; Jimenez, A; Bajo, J; Novais, P		Caporuscio, M; DeLaPrieta, F; DiMascio, T; Gennari, R; Rodriguez, JG; AzambujaSilveira, R; Vittorini, P		Duraes, Dalila; Jimenez, Amparo; Bajo, Javier; Novais, Paulo			Monitoring Level Attention Approach in Learning Activities	METHODOLOGIES AND INTELLIGENT SYSTEMS FOR TECHNOLOGY ENHANCED LEARNING (MIS4TEL)	Advances in Intelligent Systems and Computing				6th International Conference on Methodologies and Intelligent Systems for Technology Enhanced Learning (mis4TEL)	JUN 01-03, 2016	Univ Seville, Seville, SPAIN	IBM, Indra, Fidetia, IEEE SMC	Univ Seville							Duraes, Dalila A/B-4849-2014; Duraes, Dalila Alves/M-6704-2016; Novais, Paulo/M-4053-2013	Duraes, Dalila Alves/0000-0002-8313-7023; Novais, Paulo/0000-0002-3549-0754												2194-5357	2194-5365	978-3-319-40165-2; 978-3-319-40164-5				2016	478						33	40		10.1007/978-3-319-40165-2_4							WOS:000382642600004						
C	Jain, RA; Padole, DV		Satapathy, SC; Avadhani, PS; Udgata, SK; Lakshminarayana, S		Jain, Rashmi A.; Padole, Dinesh V.			Globally Asynchronous Locally Synchronous Design Based Heterogeneous Multi-core System	ICT AND CRITICAL INFRASTRUCTURE: PROCEEDINGS OF THE 48TH ANNUAL CONVENTION OF COMPUTER SOCIETY OF INDIA - VOL I	Advances in Intelligent Systems and Computing				48th Annual Convention of Computer Society of India (CSI)	DEC 13-15, 2013	Comp Soc India, Vishakapatnam Chapter, Visakhapatnam, INDIA		Comp Soc India, Vishakapatnam Chapter							Padole, Dinesh/AAD-5390-2019	Padole, Dinesh/0000-0001-8308-5393												2194-5357	2194-5365	978-3-319-03107-1				2014	248						739	748		10.1007/978-3-319-03107-1_81							WOS:000345334100081						
C	Tu, CH		Du, Z		Tu, Chunhua			Development of Graduate Simulation Experiment Teaching System Based on Mat lab Language	PROCEEDINGS OF THE 2012 INTERNATIONAL CONFERENCE OF MODERN COMPUTER SCIENCE AND APPLICATIONS	Advances in Intelligent Systems and Computing				International Conference of Modern Computer Science and Applications (MCSA 2012)	SEP 08, 2012	Wuhan, PEOPLES R CHINA	Informat Technol & Ind Engn Res Ctr																					2194-5357		978-3-642-33029-2				2013	191						321	326									WOS:000313841400052						
C	Palkowski, M; Bielecki, W		Swiatek, J; Borzemski, L; Wilimowska, Z		Palkowski, Marek; Bielecki, Wlodzimierz			A Practical Approach to Tiling Zuker's RNA Folding Using the Transitive Closure of Loop Dependence Graphs	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT II	Advances in Intelligent Systems and Computing				38th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 17-19, 2017	Szklarska Poreba, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst									Palkowski, Marek/0000-0002-5932-4523												2194-5357	2194-5365	978-3-319-67229-8; 978-3-319-67228-1				2018	656						200	209		10.1007/978-3-319-67229-8_18							WOS:000452439500018						
C	Linsely, JA; Nargunam, AS		Suresh, LP; Panigrahi, BK		Linsely, J. Arul; Nargunam, A. Shajin			Nano Silver-Based Monopole Paper Antenna for High-Frequency Application	PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON SOFT COMPUTING SYSTEMS, ICSCS 2015, VOL 1	Advances in Intelligent Systems and Computing				International Conference On Soft Computing Systems (ICSCS)	APR 20-21, 2015	Noorul Islam Univ, Noorul Islam Ctr Higher Educ, Kumaracoil, INDIA		Noorul Islam Univ, Noorul Islam Ctr Higher Educ																				2194-5357		978-81-322-2671-0; 978-81-322-2669-7				2016	397						887	896		10.1007/978-81-322-2671-0_84							WOS:000377539600084						
C	Lim, YA; Ryu, J		Lee, S; Cho, HS; Yoon, KJ; Lee, JM		Lim, Yo-An; Ryu, Jeha			Effects of a Frequency-Dependent Dissipative Element in Haptic Interaction	INTELLIGENT AUTONOMOUS SYSTEMS 12 , VOL 2	Advances in Intelligent Systems and Computing				12th International Conference of Intelligent Autonomous Systems	JUN 26-29, 2012	Jeju, SOUTH KOREA																						2194-5357	2194-5365	978-3-642-33931-8; 978-3-642-33932-5				2013	194						111	+									WOS:000313768300011						
C	Andreini, M; Lucchesi, C; Martelli, A; Martinelli, M; Tagliaferri, D		Rocha, A; Correia, AM; Costanzo, S; Reis, LP		Andreini, Marco; Lucchesi, Cristian; Martelli, Alessandro; Martinelli, Maurizio; Tagliaferri, Dario			Decentralized Human Resource Management in Public Service - The Italian National Research Council Approach	NEW CONTRIBUTIONS IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1, PT 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 01-03, 2015	Univ Azores, Ponta Delgada, PORTUGAL		Univ Azores								MARTINELLI, MAURIZIO/0000-0003-3470-1705												2194-5357	2194-5365	978-3-319-16486-1; 978-3-319-16485-4				2015	353		1				381	393		10.1007/978-3-319-16486-1_38							WOS:000381744400038						
