PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
C	Pallawi; Natarajan, V		Dash, SS; Vijayakumar, K; Panigrahi, BK; Das, S		Pallawi; Natarajan, V.			Enhanced Single Image Uniform and Heterogeneous Fog Removal Using Guided Filter	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY COMPUTATIONS IN ENGINEERING SYSTEMS, ICAIECES 2016	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Computations in Engineering Systems (ICAIECES)	MAY 19-21, 2016	SRM Univ, Chennai, INDIA		SRM Univ																				2194-5357	2194-5365	978-981-10-3174-8; 978-981-10-3173-1				2017	517						453	463		10.1007/978-981-10-3174-8_38							WOS:000432221400038						
C	Dawuti, AJ		Wen, Z; Li, T		Dawuti, Adejiang			Does Control Matter? Exploring the Effects of Formal Control and Social Control on Knowledge Transfer in Service Supply Chain	KNOWLEDGE ENGINEERING AND MANAGEMENT , ISKE 2013	Advances in Intelligent Systems and Computing				8th International Conference on Intelligent Systems and Knowledge Engineering (ISKE)	NOV 20-23, 2013	Shenzhen, PEOPLES R CHINA	Shenzhen Univ, Sci China Press, Chinese Acad Sci, IEEE Computat Intelligence Soc, Chinese Assoc Artificial Intelligence, State Key Lab Complex Elect Syst Simulat, Sci & Technol Integrated Informat Syst Lab, SW Jiaotong Univ, Univ Technol																					2194-5357		978-3-642-54930-4; 978-3-642-54929-8				2014	278						325	333		10.1007/978-3-642-54930-4_33							WOS:000342922200033						
C	Deren, AM; Gorski, A; Parkitna, A; Skonieczny, J		Wilimowska, Z; Borzemski, L; Swiatek, J		Deren, Aldona Malgorzata; Gorski, Arkadiusz; Parkitna, Agnieszka; Skonieczny, Jan			Dimensions of Business Ecosystem Efficiency	INFORMATION SYSTEMS ARCHITECTURE AND TECHNOLOGY, PT III	Advances in Intelligent Systems and Computing				38th International Conference on Information Systems Architecture and Technology (ISAT)	SEP 17-19, 2017	Szklarska Poreba, POLAND	Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Comp Sci, Wroclaw Univ Technol, Fac Comp Sci & Management, Dept Management Syst									Parkitna, Agnieszka/0000-0002-8546-399X; Deren, Aldona/0000-0002-2377-4573; Gorski, Arkadiusz/0000-0003-3595-9820												2194-5357	2194-5365	978-3-319-67223-6; 978-3-319-67222-9				2018	657						128	140		10.1007/978-3-319-67223-6_13							WOS:000452450400013						
C	Belkhiri, Y; Kamel, N; Drias, H; Yahiaoui, S		Rocha, A; Correia, AM; Adeli, H; Reis, LP; Costanzo, S		Belkhiri, Youcef; Kamel, Nadjet; Drias, Habiba; Yahiaoui, Sofiane			Bee Swarm Optimization for Community Detection in Complex Network	RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 2	Advances in Intelligent Systems and Computing				5th World Conference on Information Systems and Technologies (WorldCIST)	APR 11-13, 2017	Madeira, PORTUGAL										Drias, Habiba/0000-0001-7287-5170; kamel, nadjet/0000-0003-3608-8895												2194-5357	2194-5365	978-3-319-56538-5; 978-3-319-56537-8				2017	570						73	85		10.1007/978-3-319-56538-5_8							WOS:000425541200008						
C	Krawczyk, B; Wozniak, M; Orczyk, T; Porwik, P		Burduk, R; Jackowski, K; Kurzynski, M; Wozniak, M; Zolnierek, A		Krawczyk, Bartosz; Wozniak, Michal; Orczyk, Tomasz; Porwik, Piotr			Cost Sensitive Hierarchical Classifiers for Non-invasive Recognition of Liver Fibrosis Stage	PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON COMPUTER RECOGNITION SYSTEMS CORES 2013	Advances in Intelligent Systems and Computing				8th International Conference on Computer Recognition Systems (CORES)	MAY 25-27, 2013	Wroclaw, POLAND									Orczyk, Tomasz/K-5432-2014; Porwik, Piotr/I-3141-2013; Wozniak, Michal/A-4806-2008	Orczyk, Tomasz/0000-0002-4664-8369; Porwik, Piotr/0000-0001-8989-9478; Wozniak, Michal/0000-0003-0146-4205												2194-5357	2194-5365	978-3-319-00969-8; 978-3-319-00968-1				2013	226						639	647		10.1007/978-3-319-00969-8_63							WOS:000354284200063						
C	Hnin, HM; Pa, WP; Thu, YK		Pan, JS; Lin, JCW; Wang, CH; Jiang, XH		Hnin, Hay Mar; Pa, Win Pa; Thu, Ye Kyaw			Back-Propagation Neural Network Approach to Myanmar Part-of-Speech Tagging	GENETIC AND EVOLUTIONARY COMPUTING	Advances in Intelligent Systems and Computing				10th International Conference on Genetic and Evolutionary Computing (ICGEC)	NOV 07-09, 2016	Fujian Univ Technol, Fuzhou, PEOPLES R CHINA	Springer, Univ Comp Studies, Univ Miyazaki, Kaohsiung Univ Appl Sci, Tech Univ Ostrava, Taiwan Assoc Web Intelligence Consortium, Immers Co Ltd	Fujian Univ Technol																				2194-5357		978-3-319-48490-7; 978-3-319-48489-1				2017	536						212	220		10.1007/978-3-319-48490-7_25							WOS:000405229700025						
C	Sadio, O; Ngom, I; Lishou, C		Abraham, A; Haqiq, A; Hassanien, AE; Snasel, V; Alimi, AM		Sadio, Ousmane; Ngom, Ibrahima; Lishou, Claude			Performance Analysis of a Proposed Architecture for Remote Construction Machines Diagnostics	PROCEEDINGS OF THE THIRD INTERNATIONAL AFRO-EUROPEAN CONFERENCE FOR INDUSTRIAL ADVANCEMENT-AECIA 2016	Advances in Intelligent Systems and Computing				3rd International Afro-European Conference for Industrial Advancement (AECIA)	NOV 21-23, 2016	Marrakesh, MOROCCO	Hassan 1st Univ, Fac Sci & Tech, Comp Networks Mobil & Modeling Lab, VSB Tech Univ Ostrava, Dept Comp Sci, Univ Sfax, Res Grp Intelligent Machines Lab, Machine Intelligence Res Labs								Sadio, Ousmane/AAE-7073-2019; NGOM, ibrahima/AAP-2579-2021	Sadio, Ousmane/0000-0001-9988-1255; NGOM, ibrahima/0000-0002-5995-9465												2194-5357	2194-5365	978-3-319-60834-1; 978-3-319-60833-4				2018	565						238	247		10.1007/978-3-319-60834-1_25							WOS:000546044300025						
C	Kundu, S; Das, N; Roy, S; Saha, D		Sa, PK; Sahoo, MN; Murugappan, M; Wu, Y; Majhi, B		Kundu, Srabani; Das, Nabanita; Roy, Sasanka; Saha, Dibakar			Irregular-Shaped Event Boundary Estimation in Wireless Sensor Networks	PROGRESS IN INTELLIGENT COMPUTING TECHNIQUES: THEORY, PRACTICE, AND APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				4th International Conference on Advanced Computing, Networking and Informatics (ICACNI)	SEP 22-24, 2016	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit, Rourkela, INDIA	Joint Control Syst Soc & Instrumentat & Measurement Soc Chapter, IEEE Kolkata Sect, IEEE Commun Soc Calcutta Chapter, Govt India, CSIR Natl Aerosp Labs Aerosp Elect & Syst Div, Iowa State Univ, Dependable Comp & Networking Lab, Henan Univ Sci & Technol, Multimedia Content Secur Innovat Res Grp, Poznan Univ Technol Vis Lab	Natl Inst Technol Rourkela, Ctr Comp Vis & Pattern Recognit							Saha, Dibakar/V-6690-2018; Kundu, Srabani/AAS-9953-2021	Saha, Dibakar/0000-0002-5625-2894; Biswas, Srabani/0000-0003-1765-7853												2194-5357	2194-5365	978-981-10-3376-6; 978-981-10-3375-9				2018	719						423	435		10.1007/978-981-10-3376-6_46							WOS:000453214400046						
C	Emna, H; Salma, J; Mohamed, T; Abdelmajid, B		Abraham, A; Haqiq, A; Alimi, AM; Mezzour, G; Rokbani, N; Muda, AK		Emna, Hlel; Salma, Jamoussi; Mohamed, Turki; Abdelmajid, Ben Hamadou			Building Probabilistic Ontologies Based on Meta-Model PODM	PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS (HIS 2016)	Advances in Intelligent Systems and Computing				16th International Conference on Hybrid Intelligent Systems (HIS) / 8th World Congress on Nature and Biologically Inspired Computing (NaBIC)	NOV 21-23, 2016	Marrakech, MOROCCO	Machine Intelligence Res Labs, Hassan 1st Univ, Univ Sfax, Fac Sci Tech Settat, e ngn org, Assoc Grand Atlas, Groupement Format Continue, Univ Int Rabat, Lab Informatique Reseaux Mobilite & Modelisat, Res Grp Intelligent Machines Lab								Jamoussi, Salma/ABH-2546-2020													2194-5357	2194-5365	978-3-319-52941-7; 978-3-319-52940-0				2017	552						288	297		10.1007/978-3-319-52941-7_29							WOS:000418854600029						
C	Han, JC; Ma, Y		Selvaraj, H; Zydek, D; Chmaj, G		Han, Jianchao; Ma, Yan			Software Project Planning Using Agile	PROGRESS IN SYSTEMS ENGINEERING	Advances in Intelligent Systems and Computing				23rd International Conference on Systems Engineering	AUG 19-21, 2014	Las Vegas, NV	Univ Nevada Las Vegas, ALDEC, NVEnergy																					2194-5357		978-3-319-08421-3				2015	366						333	338		10.1007/978-3-319-08422-0_49							WOS:000360214900049						
C	Chakraborty, P; Majumder, K; Dasgupta, A		Dash, SS; Bhaskar, MA; Panigrahi, BK; Das, S		Chakraborty, Purbita; Majumder, Koushik; Dasgupta, Anurag			A Game Theoretic Model to Detect Cooperative Intrusion Over Multiple Packets	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY COMPUTATIONS IN ENGINEERING SYSTEMS, ICAIECES 2015	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Computations in Engineering Systems (ICAIECES)	APR 22-23, 2015	Velammal Engn Coll, Chennai, INDIA		Velammal Engn Coll								Majumder, Koushik/0000-0002-5217-0488												2194-5357	2194-5365	978-81-322-2656-7; 978-81-322-2654-3				2016	394						895	907		10.1007/978-81-322-2656-7_81							WOS:000371315700081						
C	Sangwan, A; Bhattacharya, PP		Berretti, S; Thampi, SM; Dasgupta, S		Sangwan, Aarti; Bhattacharya, Partha Pratim			An Optimization to Routing Approach Under WBAN Architectural Constraints	INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS, VOL 2	Advances in Intelligent Systems and Computing				International Symposium on Intelligent Systems Technologies and Applications (ISTA)	AUG 10-13, 2015	SCMS Grp Inst, SCMS Sch Engn & Technol, Kochi, INDIA		SCMS Grp Inst, SCMS Sch Engn & Technol																				2194-5357	2194-5365	978-3-319-23258-4; 978-3-319-23257-7				2016	385						75	89		10.1007/978-3-319-23258-4_8							WOS:000381802900008						
C	Khalfa, S; Rokbani, N; Telmoudi, AJ; Kacem, I; Nabli, L; Zoubida, AM		Abraham, A; Haqiq, A; Alimi, AM; Mezzour, G; Rokbani, N; Muda, AK		Khalfa, Sana; Rokbani, Nizar; Telmoudi, Achraf Jabeur; Kacem, Imed; Nabli, Lotfi; Zoubida, Alaoui Mdaghri			PSO for Job-Shop Scheduling with Multiple Operating Sequences Problem - JS	PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS (HIS 2016)	Advances in Intelligent Systems and Computing				16th International Conference on Hybrid Intelligent Systems (HIS) / 8th World Congress on Nature and Biologically Inspired Computing (NaBIC)	NOV 21-23, 2016	Marrakech, MOROCCO	Machine Intelligence Res Labs, Hassan 1st Univ, Univ Sfax, Fac Sci Tech Settat, e ngn org, Assoc Grand Atlas, Groupement Format Continue, Univ Int Rabat, Lab Informatique Reseaux Mobilite & Modelisat, Res Grp Intelligent Machines Lab								Telmoudi, Achraf Jabeur/AAH-2385-2020; KACEM, Imed/P-6087-2019; Rokbani, Nizar/AAE-7014-2020; TELMOUDI, Achraf Jabeur/ABH-2330-2020	KACEM, Imed/0000-0001-6649-7257; Telmoudi, Achraf Jabeur/0000-0001-5823-4641												2194-5357	2194-5365	978-3-319-52941-7; 978-3-319-52940-0				2017	552						558	566		10.1007/978-3-319-52941-7_55							WOS:000418854600055						
C	Khandelwal, M; Prakash, J; Pradhan, T		Berretti, S; Thampi, SM; Srivastava, PR		Khandelwal, Mayank; Prakash, Jayant; Pradhan, Tribikram			An Analysis of Best Player Selection Key Performance Indicator: The Case of Indian Premier League (IPL)	INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS, VOL 1	Advances in Intelligent Systems and Computing				International Symposium on Intelligent Systems Technologies and Applications (ISTA)	AUG 10-13, 2015	SCMS Grp Inst, SCMS Sch Engn & Technol, Kochi, INDIA		SCMS Grp Inst, SCMS Sch Engn & Technol							PRADHAN, TRIBIKRAM/AAY-1283-2021	PRADHAN, TRIBIKRAM/0000-0001-5458-2286; PRADHAN, TRIBIKRAM/0000-0001-5453-8728												2194-5357		978-3-319-23036-8; 978-3-319-23035-1				2016	384						173	190		10.1007/978-3-319-23036-8_16							WOS:000381427400016						
C	Cherif, H; Ladhari, T		Abraham, A; Haqiq, A; Alimi, AM; Mezzour, G; Rokbani, N; Muda, AK		Cherif, Hedi; Ladhari, Talel			A New Hybrid Multi-criteria ABC Inventory Classification Model Based on Differential Evolution and Topsis	PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS (HIS 2016)	Advances in Intelligent Systems and Computing				16th International Conference on Hybrid Intelligent Systems (HIS) / 8th World Congress on Nature and Biologically Inspired Computing (NaBIC)	NOV 21-23, 2016	Marrakech, MOROCCO	Machine Intelligence Res Labs, Hassan 1st Univ, Univ Sfax, Fac Sci Tech Settat, e ngn org, Assoc Grand Atlas, Groupement Format Continue, Univ Int Rabat, Lab Informatique Reseaux Mobilite & Modelisat, Res Grp Intelligent Machines Lab																					2194-5357	2194-5365	978-3-319-52941-7; 978-3-319-52940-0				2017	552						78	87		10.1007/978-3-319-52941-7_9							WOS:000418854600009						
C	Ni, JN; Ding, FQ; Zhang, LS		Xu, J; Hajiyev, A; Nickel, S; Gen, M		Ni, Jingneng; Ding, Fangqing; Zhang, Linsong			An Inexact Pricing Model for Tradable Water Pollution Emission Permit and Its Application in Chaohu Lake Watershed	PROCEEDINGS OF THE TENTH INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING MANAGEMENT	Advances in Intelligent Systems and Computing				10th International Conference on Management Science and Engineering Management (ICMSEM)	AUG 31-SEP 02, 2016	Baku, AZERBAIJAN	Int Soc Management Sci & Engn Management, Minist Educ Azerbaijan, Sichuan Univ																					2194-5357	2194-5365	978-981-10-1837-4; 978-981-10-1836-7				2017	502						575	595		10.1007/978-981-10-1837-4_49							WOS:000407613300051						
C	Mishra, VK; Chauhan, RK		Satapathy, SC; Bhateja, V; Udgata, SK; Pattnaik, PK		Mishra, Vimal Kumar; Chauhan, R. K.			Performance Analysis of Fully Depleted SOI Tapered Body Reduced Source (FD-SOI TBRS) MOSFET for Low Power Digital Applications	PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS, (FICTA 2016), VOL 2	Advances in Intelligent Systems and Computing				5th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	SEP 16-17, 2016	KIIT Univ, Sch Comp Engn, Bhubaneswar, INDIA		KIIT Univ, Sch Comp Engn																				2194-5357	2194-5365	978-981-10-3156-4; 978-981-10-3155-7				2017	516						361	368		10.1007/978-981-10-3156-4_37							WOS:000518098500037						
C	Rao, KV; Balakrishna, R; Pai, HA; Pareek, PK		Dash, SS; Bhaskar, MA; Panigrahi, BK; Das, S		Rao, K. Venkata; Balakrishna, R.; Pai, H. Aditya; Pareek, Piyush Kumar			Data Mining for Healthy Tomorrow with the Implementation of Software Project Management Technique	ARTIFICIAL INTELLIGENCE AND EVOLUTIONARY COMPUTATIONS IN ENGINEERING SYSTEMS, ICAIECES 2015	Advances in Intelligent Systems and Computing				International Conference on Artificial Intelligence and Evolutionary Computations in Engineering Systems (ICAIECES)	APR 22-23, 2015	Velammal Engn Coll, Chennai, INDIA		Velammal Engn Coll								, Dr.R.Balakrishna/0000-0003-1976-3609; Pareek, Dr.Piyush Kumar/0000-0003-2287-0122												2194-5357		978-81-322-2656-7; 978-81-322-2654-3				2016	394						345	355		10.1007/978-81-322-2656-7_31							WOS:000371315700031						
C	Cao, ST; Nguyen, LA		Bassiliades, N; Ivanovic, M; KonPopovska, M; Manolopoulos, Y; Palpanas, T; Trajcevski, G; Vakali, A		Son Thanh Cao; Linh Anh Nguyen			An Empirical Approach to Query-Subquery Nets with Tail-Recursion Elimination	NEW TRENDS IN DATABASE AND INFORMATION SYSTEMS II	Advances in Intelligent Systems and Computing				18th East European Conference on Advances in Databases and Information Systems and Associated Satellite Events (ADBIS)	SEP 07-10, 2014	Ohrid, MACEDONIA	Minist Informat Soc & Adm Ss Cyril, Univ Ss Cyril & Methodius, Fac Comp Sci & Engn, ICT ACT Assoc, Municipal Ohrid								Cao, Son Thanh/AAH-2248-2019	Cao, Son Thanh/0000-0002-4771-7856												2194-5357		978-3-319-10517-8				2015	312						109	120		10.1007/978-3-319-10518-5_9							WOS:000360219900009						
C	Siregar, MU		Rubin, SH; BouabanaTebibel, T		Siregar, Maria Ulfah			A Pre-processing Tool for Z2SAL to Broaden Support for Model Checking Z Specifications	QUALITY SOFTWARE THROUGH REUSE AND INTEGRATION	Advances in Intelligent Systems and Computing				4th IEEE International Workshop on Formal Methods Integration (FMi) held at 17th IEEE International Conference on Information Reuse and Integration (IRI)	JUL 27-30, 2016	Pittsburgh, PA	IEEE								Siregar, Maria Ulfah/AAC-6432-2021	Siregar, Maria Ulfah/0000-0001-7983-1007												2194-5357	2194-5365	978-3-319-56157-8; 978-3-319-56156-1				2018	561						256	286		10.1007/978-3-319-56157-8_12							WOS:000457159200012						
C	Mosteghanemi, H; Drias, H		Rocha, A; Correia, AM; Costanzo, S; Reis, LP		Mosteghanemi, Hadia; Drias, Habiba			Towards a Multidimensional Information Retrieval	NEW CONTRIBUTIONS IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1, PT 1	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	APR 01-03, 2015	Univ Azores, Ponta Delgada, PORTUGAL		Univ Azores								Drias, Habiba/0000-0001-7287-5170; Mosteghanemi, Hadia/0000-0002-4120-9439												2194-5357		978-3-319-16486-1; 978-3-319-16485-4				2015	353		1				91	100		10.1007/978-3-319-16486-1_9							WOS:000381744400009						
C	Wai, MS; Aung, MAC; Aung, TN		Zin, TT; Lin, JCW; Pan, JS; Tin, P; Yokota, M		Wai, Myat Su; Aung, May Aye Chan; Aung, Than Nwe			Ontology Based Comparative Sentence and Relation Mining for Sentiment Classification	GENETIC AND EVOLUTIONARY COMPUTING, VOL II	Advances in Intelligent Systems and Computing				9th International Conference on Genetic and Evolutionary Computing (ICGEC)	AUG 26-28, 2015	Univ Comp Studies, Yangon, MYANMAR	Springer, Minist Sci & Technol, Univ Miyazaki, Kaohsiung Univ Appl Sci, Fujian Univ Technol, Tech Univ Ostrava	Univ Comp Studies																				2194-5357	2194-5365	978-3-319-23207-2; 978-3-319-23206-5				2016	388						439	446		10.1007/978-3-319-23207-2_45							WOS:000381875900045						
C	Madhusudhan, V; Suma, V		Satapathy, SC; Bhateja, V; Udgata, SK; Pattnaik, PK		Madhusudhan, V.; Suma, V.			Preventive Maintenance Approach for Storage and Retrieval of Sensitive Data	PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON FRONTIERS IN INTELLIGENT COMPUTING: THEORY AND APPLICATIONS, (FICTA 2016), VOL 2	Advances in Intelligent Systems and Computing				5th International Conference on Frontiers in Intelligent Computing - Theory and Applications (FICTA)	SEP 16-17, 2016	KIIT Univ, Sch Comp Engn, Bhubaneswar, INDIA		KIIT Univ, Sch Comp Engn								V, Suma/0000-0003-1942-6741												2194-5357	2194-5365	978-981-10-3156-4; 978-981-10-3155-7				2017	516						483	489		10.1007/978-981-10-3156-4_50							WOS:000518098500050						
C	Prabhakar, TVN; Geetha, P		Berretti, S; Thampi, SM; Srivastava, PR		Prabhakar, T. V. Nidhin; Geetha, P.			Empirical Wavelet Transform for Improved Hyperspectral Image Classification	INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS, VOL 1	Advances in Intelligent Systems and Computing				International Symposium on Intelligent Systems Technologies and Applications (ISTA)	AUG 10-13, 2015	SCMS Grp Inst, SCMS Sch Engn & Technol, Kochi, INDIA		SCMS Grp Inst, SCMS Sch Engn & Technol							V, Nidhin Prabhakar T/AAG-3080-2019	V, Nidhin Prabhakar T/0000-0002-5303-6918; p, geetha/0000-0002-5637-3856												2194-5357		978-3-319-23036-8; 978-3-319-23035-1				2016	384						393	401		10.1007/978-3-319-23036-8_34							WOS:000381427400034						
C	Clotet, E; Martinez, D; Moreno, J; Tresanchez, M; Palacin, J		DeLaPrieta, F; Escalona, MJ; Corchuelo, R; Mathieu, P; Vale, Z; Campbell, AT; Rossi, S; Adam, E; JimenezLopez, MD; Navarro, EM; Moreno, MN		Clotet, Eduard; Martinez, Dani; Moreno, Javier; Tresanchez, Marcel; Palacin, Jordi			A Proposal to Combine Depth Information from LIDAR and RGB-D Sensors in an Assistant Personal Robot	TRENDS IN PRACTICAL APPLICATIONS OF SCALABLE MULTI-AGENT SYSTEMS, THE PAAMS COLLECTION	Advances in Intelligent Systems and Computing				14th International Conference on Practical Applications of Agents and Multi-Agent Systems (PAAMS)	JUN 01-03, 2016	Sevilla, SPAIN	IEEE Syst Man Cybernet Soc Spain, IBM, AEPIA, AFIA, APPIA, Polytechn Univ Madrid, Univ Seville, CNRS, Ingn Software Avanzado S A, Indra, Portuguese Assoc Artificial Intelligence, Assoc Francaise Intelligence Artificielle, IEEE Secc Espana, Fundac Investigac Desarrollo Tecnologias Informac Andalucia, Escuela Tecnica Super Ingn Informatica								Tresanchez, Marcel/L-5763-2014; Palacin, Jorge/D-2865-2011	Tresanchez, Marcel/0000-0002-7965-0086; Palacin, Jorge/0000-0001-8210-3262; Moreno Blanc, Javier/0000-0001-5417-0054; Clotet Bellmunt, Eduard/0000-0002-1451-0242												2194-5357		978-3-319-40159-1; 978-3-319-40158-4				2016	473						359	361		10.1007/978-3-319-40159-1_30							WOS:000389807600030						
C	Amritha, PP; Muraleedharan, MS; Rajeev, K; Sethumadhavan, M		Berretti, S; Thampi, SM; Srivastava, PR		Amritha, P. P.; Muraleedharan, M. Sreedivya; Rajeev, K.; Sethumadhavan, M.			Steganalysis of LSB Using Energy Function	INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS, VOL 1	Advances in Intelligent Systems and Computing				International Symposium on Intelligent Systems Technologies and Applications (ISTA)	AUG 10-13, 2015	SCMS Grp Inst, SCMS Sch Engn & Technol, Kochi, INDIA		SCMS Grp Inst, SCMS Sch Engn & Technol								pp, amritha/0000-0002-0761-6057; m, sethumadhavan/0000-0001-5476-5461												2194-5357	2194-5365	978-3-319-23036-8; 978-3-319-23035-1				2016	384						549	558		10.1007/978-3-319-23036-8_48							WOS:000381427400048						
C	Sridhar, K; Sattar, SA; Mohan, MC		Satapathy, SC; Mandal, JK; Udgata, SK; Bhateja, V		Sridhar, K.; Sattar, Syed Abdul; Mohan, M. Chandra			An Improved Data Hiding Scheme in Motion Vectors of Video Streams	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, VOL 3, INDIA 2016	Advances in Intelligent Systems and Computing				3rd International Conference on Information System Design and Intelligent Applications (INDIA)	JAN 08-09, 2016	ANITS Campus, Visakhapatnam, INDIA	Anil Neerukonda Inst Technol & Sci, Det CSE, ANITS CSI Student Branch	ANITS Campus																				2194-5357	2194-5365	978-81-322-2757-1; 978-81-322-2756-4				2016	435						249	255		10.1007/978-81-322-2757-1_25							WOS:000373011500025						
C	Tay, J; Liemhetcharat, S; Veloso, M		Reis, LP; Moreira, AP; Lima, PU; Montano, L; MunozMartinez, V		Tay, Junyun; Liemhetcharat, Somchaya; Veloso, Manuela			Creating a Multi-robot Stage Production	ROBOT 2015: SECOND IBERIAN ROBOTICS CONFERENCE: ADVANCES IN ROBOTICS, VOL 1	Advances in Intelligent Systems and Computing				2nd Iberian Robotics Conference (ROBOT)	NOV 19-21, 2015	Lisbon, PORTUGAL	Portuguese Soc Robot, Spanish Soc Res & Dev Robot, CEA, Robot Themat Grp																					2194-5357	2194-5365	978-3-319-27146-0; 978-3-319-27145-3				2016	417						743	756		10.1007/978-3-319-27146-0_57							WOS:000370651600057						
C	Bastos, HPP; Bercht, M; Wives, LK; Kambara-Silva, J; Martins, Y		Rocha, A; Correia, AM; Wilson, T; Stroetmann, KA		Bastos, Helvia P. P.; Bercht, Magda; Wives, Leandro K.; Kambara-Silva, Julia; Martins, Yasmmin			Text Mining Indicators of Affect and Interaction: A Case Study of Students' Postings in a Blended-Learning Course of English for Specific Purposes	ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES	Advances in Intelligent Systems and Computing				World Conference on Information Systems and Technologies (WorldCIST)	MAR 27-30, 2013	Olhao, PORTUGAL	Iberian Assoc Informat Syst & Technologies								Wives, Leandro Krug/C-2399-2008; Wives, Leandro Krug/M-4017-2019	Wives, Leandro Krug/0000-0002-8391-446X; Wives, Leandro Krug/0000-0002-8391-446X												2194-5357		978-3-642-36981-0				2013	206						861	872		10.1007/978-3-642-36981-0_80							WOS:000354617500080						
C	Danch-Wierzchowska, M; Gorczewski, K; Borys, D; Swierniak, A		Gzik, M; Tkacz, E; Paszenda, Z; Pietka, E		Danch-Wierzchowska, Marta; Gorczewski, Kamil; Borys, Damian; Swierniak, Andrzej			Trends in Biomechanical Finite Element Breast Deformation Modelling	INNOVATIONS IN BIOMEDICAL ENGINEERING	Advances in Intelligent Systems and Computing				Conference on Innovations in Biomedical Engineering (IBE)	OCT 16-18, 2016	Zabrze, POLAND									Borys, Damian/P-6652-2015	Borys, Damian/0000-0003-0229-2601; Swierniak, Andrzej/0000-0002-5698-5721; Danch-Wierzchowska, Marta/0000-0002-5912-2753												2194-5357	2194-5365	978-3-319-47154-9; 978-3-319-47153-2				2017	526						97	105		10.1007/978-3-319-47154-9_12							WOS:000455777500012						
C	Jerbi, W; Ben Brahim, A; Essoussi, N		Abraham, A; Haqiq, A; Alimi, AM; Mezzour, G; Rokbani, N; Muda, AK		Jerbi, Wassila; Ben Brahim, Afef; Essoussi, Nadia			A Hybrid Embedded-Filter Method for Improving Feature Selection Stability of Random Forests	PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS (HIS 2016)	Advances in Intelligent Systems and Computing				16th International Conference on Hybrid Intelligent Systems (HIS) / 8th World Congress on Nature and Biologically Inspired Computing (NaBIC)	NOV 21-23, 2016	Marrakech, MOROCCO	Machine Intelligence Res Labs, Hassan 1st Univ, Univ Sfax, Fac Sci Tech Settat, e ngn org, Assoc Grand Atlas, Groupement Format Continue, Univ Int Rabat, Lab Informatique Reseaux Mobilite & Modelisat, Res Grp Intelligent Machines Lab								Brahim, Afef Ben/U-3069-2019	Brahim, Afef Ben/0000-0001-5300-4089												2194-5357	2194-5365	978-3-319-52941-7; 978-3-319-52940-0				2017	552						370	379		10.1007/978-3-319-52941-7_37							WOS:000418854600037						
